station_id,mae_h2,mae_h2e,n_test_cells,true_doc_mean,pred_doc_mean,mae,bias,lat,lon,huc2,upstream_degree,downstream_degree,hist_doc_mean,improvement
03209500,1.99087655544281,1.5808120965957642,31,3.703225612640381,2.917010545730591,1.6950801610946655,-0.7862148880958557,37.4642676,-82.5262632,5,1,1,3.703225612640381,0.4100644588470459
06324925,4.2873711585998535,3.8799779415130615,34,12.31764793395996,6.8707051277160645,5.917842864990234,-5.446942329406738,44.6475,-105.3102778,10,1,1,12.31764793395996,0.407393217086792
06923150,1.387600302696228,1.0269348621368408,37,2.5144593715667725,2.669895887374878,1.4927499294281006,0.1554363816976547,37.5944,-92.9668194,10,0,1,2.5144593715667725,0.3606654405593872
03460000,3.40700626373291,3.0605273246765137,72,4.4375,3.933049440383911,3.4879744052886963,-0.5044505000114441,35.6672222,-83.0727778,6,0,1,4.4375,0.3464789390563965
06734900,0.7997924089431763,0.48930856585502625,32,3.5403127670288086,1.9825611114501955,1.5577512979507446,-1.5577512979507446,40.37385556,-105.4738139,10,3,1,3.5403127670288086,0.31048384308815
06754000,1.1310478448867798,0.8235689401626587,241,4.673450946807861,3.823704481124878,1.5978188514709473,-0.8497467041015625,40.4119253,-104.5627366,10,5,1,4.673450946807861,0.3074789047241211
07186480,1.0850920677185059,0.8287688493728638,41,1.91292667388916,2.8442039489746094,1.5003710985183716,0.9312772750854492,37.1556146,-94.6030068,11,0,1,1.91292667388916,0.2563232183456421
06929315,1.5564807653427124,1.3089197874069214,38,1.6894736289978027,3.480032205581665,2.51106071472168,1.7905588150024414,37.5574361,-92.0492806,10,0,1,1.6894736289978027,0.24756097793579102
06126470,2.909127712249756,2.674666404724121,22,9.45909023284912,10.755539894104004,3.599676609039306,1.2964485883712769,46.38720278,-108.5418028,10,0,1,9.45909023284912,0.23446130752563477
06307600,2.654716968536377,2.434892177581787,32,9.040624618530272,10.435029983520508,3.548103809356689,1.394404649734497,45.29906389,-106.5081667,10,1,1,9.040624618530272,0.21982479095458984
05465500,1.6092332601547241,1.406514048576355,291,4.27794361114502,4.995376586914063,1.9181835651397705,0.7174327373504639,41.1780861,-91.1820917,7,3,1,4.27794361114502,0.20271921157836914
06818000,1.4535268545150757,1.2532870769500732,37,4.821891784667969,5.076818943023682,1.4262173175811768,0.2549267709255218,39.75325,-94.8568333,10,3,1,4.821891784667969,0.20023977756500244
