station_id,n_test_cells,true_doc_mean,pred_doc_mean,mae,bias,lat,lon,huc2,upstream_degree,downstream_degree,hist_doc_mean
03438500,35,2.385999917984009,3.1807639598846436,0.7947638630867004,0.7947638630867004,37.14866656,-88.3992047,05,0,1,2.385999917984009
06893830,49,4.09591817855835,3.5689878463745117,0.7448704838752747,-0.526930570602417,39.03777778,-94.3633333,10,0,1,4.09591817855835
03357330,32,3.4198436737060547,3.2465505599975586,0.7358427047729492,-0.17329320311546326,39.81625714,-86.753968,05,0,1,3.4198436737060547
322023090544500,169,3.700103521347046,3.7087628841400146,0.6913540363311768,0.008659359999001026,32.3397222,-90.9125,08,4,1,3.700103521347046
07049690,48,2.223750114440918,2.909149169921875,0.6876580119132996,0.6853992342948914,36.42090508,-93.8474187,11,1,1,2.223750114440918
401201105354701,25,2.628000259399414,3.117480516433716,0.6236080527305603,0.4894806742668152,40.20027778,-105.5963889,10,0,1,2.628000259399414
392200106120000,27,1.085925817489624,1.0585589408874512,0.6060625910758972,-0.027366872876882553,39.3643583,-106.215175,11,0,1,1.085925817489624
05553700,35,5.3342766761779785,5.006191730499268,0.539690375328064,-0.3280845880508423,41.3247564,-88.9839693,07,2,1,5.3342766761779785
07099200,119,2.6628153324127197,2.797562837600708,0.44695016741752625,0.13474808633327484,38.33722178,-104.93889055,11,1,1,2.6628153324127197
03039930,26,1.2461539506912231,1.4878426790237427,0.4357756972312927,0.24168874323368073,40.2281305,-79.0466946,05,0,1,1.2461539506912231
412229106144100,28,0.9287500381469727,1.0783978700637817,0.36274245381355286,0.14964796602725983,41.3747222,-106.2447222,10,0,1,0.9287500381469727
072632992,44,3.3194315433502197,3.2235541343688965,0.35313764214515686,-0.09587779641151428,34.8653675,-92.5398821,11,4,1,3.3194315433502197
454147113560900,28,0.5849999785423279,0.5485551953315735,0.20519518852233887,-0.036444783210754395,45.69638889,-113.9358333,10,0,1,0.5849999785423279
