site_no,DOC_monthly_labels,site_tp_cd,station_nm
06340000,74,ST,"SPRING CREEK AT ZAP, ND"
06340500,57,ST,"KNIFE RIVER AT HAZEN, ND"
06340520,25,ST,"ANTELOPE CREEK ABOVE HAZEN, ND"
06340580,24,ST,"COAL CR NR STANTON, ND"
06340780,27,ST,"ALDERIN CREEK NR FORT CLARK, ND"
06340930,30,ST,"BUFFALO CREEK NR WASHBURN, ND"
06342040,20,ST,"SQUARE BUTTE CREEK NR HANNOVER, ND"
06342200,45,ST,"SQUARE BUTTE CREEK AB NELSON LAKE NR CENTER, ND"
06342230,29,ST,"HAGEL CREEK NR CENTER, ND"
06342500,53,ST,"MISSOURI RIVER AT BISMARCK, ND"
06343000,47,ST,"HEART RIVER NEAR SOUTH HEART, ND"
06344600,45,ST,"GREEN RIVER NEAR NEW HRADEC, ND"
06349000,23,ST,"HEART RIVER NEAR MANDAN, ND"
06349700,43,ST,"MISSOURI RIVER NEAR SCHMIDT, ND"
06349900,27,ST,"CANNONBALL RIVER AT NEW ENGLAND, ND"
06349930,67,ST,"COAL BANK CREEK NR HAVELOCK, ND"
06350000,39,ST,"CANNONBALL RIVER AT REGENT, ND"
06352400,36,ST,"TIMBER CREEK NR BENTLEY, ND"
06354000,29,ST,"CANNONBALL RIVER AT BREIEN, ND"
06355310,72,ST,"BUFFALO CREEK TRIBUTARY NR GASCOYNE, ND"
06364700,35,ST,"ANTELOPE CREEK NEAR TECKLA, WY"
06375600,40,ST,"LITTLE THUNDER CREEK NEAR HAMPSHIRE, WY"
06378300,21,ST,LODGEPOLE C NR HAMPSHIRE WY
06425900,21,ST,"CABALLO CREEK AT MOUTH, NEAR PINEY, WY"
06426400,36,ST,"DONKEY CREEK NEAR MOORCROFT, WY"
06436180,36,ST,"WHITEWOOD CREEK ABOVE WHITEWOOD, SD"
06436198,35,ST,"WHITEWOOD CREEK ABOVE VALE, SD"
06437000,31,ST,"BELLE FOURCHE RIVER NEAR STURGIS, SD"
06438000,28,ST,"BELLE FOURCHE RIVER NEAR ELM SPRINGS, SD"
06440000,35,ST,"MISSOURI RIVER AT PIERRE, SD"
06453000,40,ST,MISSOURI RIVER AT FORT RANDALL DAM SD
06453305,24,ST,"MISSOURI RIVER BELOW CHOTEAU CREEK NEAR VERDEL, NE"
