file,model,mask,dataset,rows,split_counts,test_stored_rows,test_mask_cells,test_unmatched,test_cells_nonfinite_pred,coverage,recomputed,sha256,in_frozen_table,in_multiseed_table,frozen_mae,frozen_r2,d_mae,d_r2,status
B2_random_forest__e1_r60_seed43.parquet,B2_random_forest,e1_r60_seed43,data/processed/mississippi_graph_v02.pt,33048,"{'test': 19829, 'train': 11897, 'val': 1322}",19829,19829,0,0,1.0,"{'mae': 1.441989892162246, 'r2': 0.3912615056441975, 'rmse': 4.671285519650624, 'n': 19829}",62238ddc8a42856b09b27c97c2c988254d125bf52a1fbf03946806b64ba64e3c,True,False,1.4419898921622458,0.3912615077700545,2.220446049250313e-16,-2.125856990442543e-09,verified
B2_random_forest__e1_r60_seed44.parquet,B2_random_forest,e1_r60_seed44,data/processed/mississippi_graph_v02.pt,33048,"{'test': 19829, 'train': 11897, 'val': 1322}",19829,19829,0,0,1.0,"{'mae': 1.4497378337202742, 'r2': 0.3391430553914597, 'rmse': 5.339503709661758, 'n': 19829}",c6c1ca768e90fae3926de18656387ac763241a561a4bd513b9fe1e408b937096,True,False,1.4497378337202742,0.3391431014409026,0.0,-4.604944287001089e-08,verified
B2_random_forest__e2a_strict.parquet,B2_random_forest,e2a_strict,data/processed/mississippi_graph_v02.pt,33048,"{'train': 25771, 'val': 4093, 'test': 3184}",3184,3184,0,0,1.0,"{'mae': 1.114872464004028, 'r2': 0.21015244668563327, 'rmse': 1.7716672533679396, 'n': 3184}",53648c9c5097efdfe3a9a336c375172902e03f509d508fe87c9535fe59af725c,True,False,1.114872464004028,0.210152471385832,0.0,-2.470019874745155e-08,verified
B2_random_forest__e2b_partial.parquet,B2_random_forest,e2b_partial,data/processed/mississippi_graph_v02.pt,33048,"{'train': 25771, 'val': 4093, 'test': 2547, 'context': 637}",2547,2547,0,0,1.0,"{'mae': 1.1142244777610129, 'r2': 0.18158672272896448, 'rmse': 1.7553975846091212, 'n': 2547}",2ab275504d43c39db67d2d4f7394188f07584f2c86307f42114a70aff9d9594f,True,False,1.1142244777610126,0.1815866658335163,2.220446049250313e-16,5.6895448186100595e-08,verified
B2_random_forest__e3_spatial_seed42.parquet,B2_random_forest,e3_spatial_seed42,data/processed/mississippi_graph_v02.pt,33048,"{'train': 25182, 'test': 5068, 'val': 2798}",5068,5068,0,0,1.0,"{'mae': 2.060358630326379, 'r2': 0.10750882785555371, 'rmse': 3.673444245168637, 'n': 5068}",589eda46077e18276d1ad25d464015f74fda6af3c4db7b5c49b4927f88f50558,True,False,2.060358630326379,0.1075087917822789,0.0,3.607327481169875e-08,verified
B2_random_forest__e3_spatial_seed43.parquet,B2_random_forest,e3_spatial_seed43,data/processed/mississippi_graph_v02.pt,33048,"{'train': 26140, 'test': 4004, 'val': 2904}",4004,4004,0,0,1.0,"{'mae': 2.2780380144319183, 'r2': 0.0839415127721519, 'rmse': 11.50630390148083, 'n': 4004}",fd299aecbbe5e37e8dc147aa9138e6b36266541505206520d5be0eb2bc67fee3,True,False,2.2780380144319183,0.0839415273676644,0.0,-1.4595512506931918e-08,verified
B2_random_forest__e3_spatial_seed44.parquet,B2_random_forest,e3_spatial_seed44,data/processed/mississippi_graph_v02.pt,33048,"{'train': 25325, 'test': 4909, 'val': 2814}",4909,4909,0,0,1.0,"{'mae': 1.8712613810740872, 'r2': 0.4357910819492269, 'rmse': 3.6490858194356903, 'n': 4909}",741e6e678cd0bbfab27994bc6837df15aef2a159ac5d99a045a6232e7cf75cc9,True,False,1.8712613810740872,0.4357911376083441,0.0,-5.565911720406547e-08,verified
B3_mlp__e1_r20_seed42.parquet,B3_mlp,e1_r20_seed42,data/processed/mississippi_graph_v02.pt,33048,"{'train': 23794, 'test': 6610, 'val': 2644}",6610,6610,0,0,1.0,"{'mae': 1.8678042252953362, 'r2': 0.17544183026299043, 'rmse': 6.992494103792175, 'n': 6610}",dfc7689d93a551034502036c23dd63eea2b5becb585a43ea6d1862c4a3ecc4e8,True,False,1.867804225295336,0.1754418347876712,2.220446049250313e-16,-4.524680768946965e-09,verified
B3_mlp__e1_r20_seed43.parquet,B3_mlp,e1_r20_seed43,data/processed/mississippi_graph_v02.pt,33048,"{'train': 23794, 'test': 6610, 'val': 2644}",6610,6610,0,0,1.0,"{'mae': 1.777680512991779, 'r2': 0.44385025510549325, 'rmse': 3.5928801825049463, 'n': 6610}",222b21e4a95387893ac2e6a309721f511ae4fd92d9be0a9e1eff2cd92fe8ec24,True,False,1.777680512991779,0.4438502206611194,0.0,3.444437385313748e-08,verified
B3_mlp__e1_r20_seed44.parquet,B3_mlp,e1_r20_seed44,data/processed/mississippi_graph_v02.pt,33048,"{'train': 23794, 'test': 6610, 'val': 2644}",6610,6610,0,0,1.0,"{'mae': 1.964328337170847, 'r2': 0.2970427578571144, 'rmse': 5.006006800174529, 'n': 6610}",b8f6c2a2d76def234e7d195a46ce1bd7d598ac266df258f63cbc731d480ee71a,True,False,1.9643283371708469,0.2970427363426263,2.220446049250313e-16,2.151448813547674e-08,verified
B3_mlp__e1_r40_seed42.parquet,B3_mlp,e1_r40_seed42,data/processed/mississippi_graph_v02.pt,33048,"{'train': 17846, 'test': 13219, 'val': 1983}",13219,13219,0,0,1.0,"{'mae': 1.9158959466209844, 'r2': 0.1573640472575577, 'rmse': 7.181302884580052, 'n': 13219}",2b1867b798a3f4894d1672c1f8270aeab8be2bcbb04bdfef99a2b62422070e1e,True,False,1.9158959466209844,0.1573640277989288,0.0,1.9458628902624397e-08,verified
B3_mlp__e1_r40_seed43.parquet,B3_mlp,e1_r40_seed43,data/processed/mississippi_graph_v02.pt,33048,"{'train': 17846, 'test': 13219, 'val': 1983}",13219,13219,0,0,1.0,"{'mae': 1.820233224102992, 'r2': 0.24732749711127233, 'rmse': 5.530660381611108, 'n': 13219}",c3771a9e5d8efc92bcb7685962403b1b34bb6291a4d09a3b255103ddbe05076d,True,False,1.8202332241029924,0.2473274621619028,-4.440892098500626e-16,3.4949369537295993e-08,verified
B3_mlp__e1_r40_seed44.parquet,B3_mlp,e1_r40_seed44,data/processed/mississippi_graph_v02.pt,33048,"{'train': 17846, 'test': 13219, 'val': 1983}",13219,13219,0,0,1.0,"{'mae': 1.8470843124046556, 'r2': 0.3032474875292811, 'rmse': 4.73556340191216, 'n': 13219}",3830edcdbe612bf03ca0f3b14e617d90b8889b51ee279f3adb57e9444d8e5f61,True,False,1.847084312404656,0.30324747290781,-4.440892098500626e-16,1.4621471089437676e-08,verified
B3_mlp__e1_r60_seed42.parquet,B3_mlp,e1_r60_seed42,data/processed/mississippi_graph_v02.pt,33048,"{'test': 19829, 'train': 11897, 'val': 1322}",19829,19829,0,0,1.0,"{'mae': 1.886888359664826, 'r2': 0.2065888325277152, 'rmse': 6.247659282909637, 'n': 19829}",f5e2cf9f33e3decb0c019c035692f375c6703d0b48c987bf933333fde3598ccf,True,False,1.886888359664826,0.2065888346960632,0.0,-2.168348001152509e-09,verified
