model,seed,mask,file,mae,r2,rmse,log_r2,log_mae,log_rmse,n
H2,3,e1_r20_seed43,H2_transport_river_s3,1.343300223350525,0.5863576017913514,3.0985562801361084,0.7428093390811776,0.2035423219203949,0.30208340287208557,6610
H2,3,e1_r20_seed44,H2_transport_river_s3,1.4335875511169434,0.4660659224190783,4.362855434417725,0.7517423302237431,0.2072000801563263,0.30374255776405334,6610
H2,3,e2a_strict,H2_transport_river_s3,1.184667944908142,0.3262961450802635,1.636232614517212,0.43219408959327277,0.24308763444423676,0.31349480152130127,3184
H2,3,e2b_partial,H2_transport_river_s3,1.1007918119430542,0.3578447915580437,1.5549240112304688,0.45105576216070853,0.23098300397396088,0.3048626482486725,2547
H2,3,e3_spatial_seed42,H2_transport_river_s3,1.812238335609436,0.2629854290361998,3.3381781578063965,0.2969419188851615,0.3013548254966736,0.41710397601127625,5068
H2,3,e3_spatial_seed43,H2_transport_river_s3,2.2553625106811523,0.08061882065245507,11.527152061462402,0.4491007243458536,0.34334033727645874,0.4473232328891754,4004
H2,3,e3_spatial_seed44,H2_transport_river_s3,1.90422785282135,0.45617212988401223,3.582571506500244,0.5604230046918766,0.3035552203655243,0.3928759694099426,4909
H2,4,e1_r20_seed42,H2_transport_river_s4,1.4308278560638428,0.3061512515908533,6.414368152618408,0.7649734908806272,0.2012150138616562,0.2947520911693573,6610
H2,4,e1_r20_seed43,H2_transport_river_s4,1.3457227945327759,0.5920163488210165,3.077288866043091,0.7412733553020574,0.20804522931575775,0.3029841184616089,6610
H2,4,e1_r20_seed44,H2_transport_river_s4,1.4327327013015747,0.4593910145769742,4.390041351318359,0.7494672603521344,0.2048880159854889,0.30513113737106323,6610
H2,4,e2a_strict,H2_transport_river_s4,1.0144708156585693,0.42363080385499696,1.5134249925613403,0.545970011608881,0.21091298758983612,0.2803319990634918,3184
H2,4,e2b_partial,H2_transport_river_s4,1.017993450164795,0.43444604957441535,1.4592381715774536,0.5726519491456454,0.20691509544849396,0.2689867913722992,2547
H2,4,e3_spatial_seed42,H2_transport_river_s4,1.884567141532898,0.3205363264736004,3.2051961421966553,0.30069959679303293,0.31749916076660156,0.4159878194332123,5068
H2,4,e3_spatial_seed43,H2_transport_river_s4,2.188570261001587,0.07757463656582853,11.546220779418945,0.46834182731765406,0.32455945014953613,0.43944206833839417,4004
H2,4,e3_spatial_seed44,H2_transport_river_s4,1.833605408668518,0.45065716939469014,3.600691080093384,0.5743254856368154,0.2925097644329071,0.3866133391857147,4909
H2X,0,e1_r20_seed42,H2Xf_transport_enc_river,1.4237468242645264,0.272357114605299,6.568717956542969,0.7569151922003579,0.19888615608215332,0.2997625470161438,6610
H2X,0,e1_r20_seed43,H2Xf_transport_enc_river,1.347900152206421,0.5762876152884064,3.1360461711883545,0.732357331332997,0.20871855318546295,0.3081604838371277,6610
H2X,0,e1_r20_seed44,H2Xf_transport_enc_river,1.4158971309661865,0.44330915176277297,4.454859733581543,0.7536725020471255,0.20164500176906586,0.3025594651699066,6610
H2X,0,e2a_strict,H2Xf_transport_enc_river,1.01445472240448,0.42252766717425516,1.514872670173645,0.5450054013082307,0.20855927467346191,0.28062963485717773,3184
H2X,0,e2b_partial,H2Xf_transport_enc_river,0.9380256533622742,0.4791959269662921,1.4003169536590576,0.5903711462045002,0.19515973329544067,0.2633512318134308,2547
H2X,0,e3_spatial_seed42,H2Xf_transport_enc_river,1.637770414352417,0.396824087587892,3.0199062824249268,0.437877373844031,0.2651885151863098,0.37296172976493835,5068
H2X,0,e3_spatial_seed43,H2Xf_transport_enc_river,2.119093656539917,0.0801524619323084,11.530076026916504,0.5150746328538998,0.31027787923812866,0.41968438029289246,4004
H2X,0,e3_spatial_seed44,H2Xf_transport_enc_river,1.627765417098999,0.5299920524149505,3.3305559158325195,0.6705532530795553,0.24596992135047913,0.34011876583099365,4909
H2X,1,e1_r20_seed42,H2X_transport_enc_river_s1,1.4213069677352905,0.27298903107496675,6.5658650398254395,0.7609322764989778,0.197045236825943,0.2972753643989563,6610
H2X,1,e1_r20_seed43,H2X_transport_enc_river_s1,1.3049159049987793,0.6021898062964327,3.0386791229248047,0.7529439537291035,0.19957812130451202,0.29607176780700684,6610
H2X,1,e1_r20_seed44,H2X_transport_enc_river_s1,1.4488160610198975,0.4407128698533046,4.465235710144043,0.7462455781441428,0.2066582292318344,0.3070867657661438,6610
H2X,1,e2a_strict,H2X_transport_enc_river_s1,0.9621819257736206,0.4458187237635538,1.4840087890625,0.5766231833851019,0.19491712749004364,0.2707035541534424,3184
H2X,1,e2b_partial,H2X_transport_enc_river_s1,0.9148156046867371,0.4868424884805391,1.3899990320205688,0.5993815881193585,0.18711034953594208,0.2604387104511261,2547
H2X,1,e3_spatial_seed42,H2X_transport_enc_river_s1,1.5746872425079346,0.40162792274427384,3.007856845855713,0.5038713670102257,0.255228191614151,0.35038530826568604,5068
H2X,1,e3_spatial_seed43,H2X_transport_enc_river_s1,2.0056111812591553,0.07958425599745633,11.533636093139648,0.556121821176939,0.28878968954086304,0.40152931213378906,4004
H2X,1,e3_spatial_seed44,H2X_transport_enc_river_s1,1.7300561666488647,0.4692584362340827,3.5392045974731445,0.616993498026208,0.26599574089050293,0.36672547459602356,4909
H2X,2,e1_r20_seed42,H2X_transport_enc_river_s2,1.3975850343704224,0.27288721965284135,6.566324710845947,0.7637538725535943,0.1957976073026657,0.29551586508750916,6610
H2X,2,e1_r20_seed43,H2X_transport_enc_river_s2,1.3160569667816162,0.6092393009639605,3.0116348266601562,0.7538045793297456,0.20162418484687805,0.29555565118789673,6610
H2X,2,e1_r20_seed44,H2X_transport_enc_river_s2,1.435122013092041,0.44800139007671946,4.436045169830322,0.7503540416604839,0.20673435926437378,0.3045906722545624,6610
H2X,2,e2a_strict,H2X_transport_enc_river_s2,1.0554981231689453,0.3999046824459025,1.5442607402801514,0.5030772062577651,0.22056633234024048,0.2932748794555664,3184
H2X,2,e2b_partial,H2X_transport_enc_river_s2,0.9737716317176819,0.4197109258909252,1.4781256914138794,0.5805481032231583,0.19623228907585144,0.2664901614189148,2547
H2X,2,e3_spatial_seed42,H2X_transport_enc_river_s2,1.5756248235702515,0.3810310857083432,3.0591862201690674,0.49307309235915786,0.2508273124694824,0.354177862405777,5068
H2X,2,e3_spatial_seed43,H2X_transport_enc_river_s2,2.242577075958252,0.074706606039313,11.564156532287598,0.42772976019148023,0.3350487947463989,0.4559171795845032,4004
H2X,2,e3_spatial_seed44,H2X_transport_enc_river_s2,1.7001535892486572,0.48104049842808283,3.4997003078460693,0.6449739104521709,0.2591733932495117,0.35307595133781433,4909
H2X,3,e1_r20_seed42,H2X_transport_enc_river_s3,1.4331332445144653,0.2728012739104364,6.566712856292725,0.7560996153774675,0.20048804581165314,0.30026498436927795,6610
H2X,3,e1_r20_seed43,H2X_transport_enc_river_s3,1.2858113050460815,0.6084354404782721,3.014730930328369,0.7587166513435233,0.1974685788154602,0.292592316865921,6610
H2X,3,e1_r20_seed44,H2X_transport_enc_river_s3,1.4413515329360962,0.4421353710869612,4.4595537185668945,0.7470424638298079,0.20651786029338837,0.30660420656204224,6610
H2X,3,e2a_strict,H2X_transport_enc_river_s3,1.0101830959320068,0.37973710878318456,1.569995641708374,0.4996662529761463,0.2104438692331314,0.29427969455718994,3184
H2X,3,e2b_partial,H2X_transport_enc_river_s3,0.972062885761261,0.4201778856493913,1.477530837059021,0.5240689852836584,0.20445895195007324,0.28386515378952026,2547
H2X,3,e3_spatial_seed42,H2X_transport_enc_river_s3,1.6387805938720703,0.37639552802984844,3.070620059967041,0.47379865270626786,0.2643110156059265,0.3608483374118805,5068
H2X,3,e3_spatial_seed43,H2X_transport_enc_river_s3,2.228353261947632,0.0697852147005168,11.594869613647461,0.4384735773828299,0.3310524523258209,0.45161721110343933,4004
H2X,3,e3_spatial_seed44,H2X_transport_enc_river_s3,1.6782209873199463,0.5138061811523418,3.387418508529663,0.6416551511392175,0.2595256567001343,0.35472235083580017,4909
H2X,4,e1_r20_seed42,H2X_transport_enc_river_s4,1.447523593902588,0.2491824590639552,6.672501564025879,0.74946689002897,0.2027556151151657,0.304320365190506,6610
H2X,4,e1_r20_seed43,H2X_transport_enc_river_s4,1.3107531070709229,0.6071608940014231,3.0196335315704346,0.7558310442305867,0.19892142713069916,0.29433673620224,6610
H2X,4,e1_r20_seed44,H2X_transport_enc_river_s4,1.4182521104812622,0.4499896957678782,4.428048610687256,0.7545084468590648,0.20500703155994415,0.30204564332962036,6610
H2X,4,e2a_strict,H2X_transport_enc_river_s4,0.9656692743301392,0.401424592237678,1.5423039197921753,0.553242811674977,0.19941040873527527,0.27807772159576416,3184
H2X,4,e2b_partial,H2X_transport_enc_river_s4,0.9289971590042114,0.43094749195104143,1.4637447595596313,0.5677840565300005,0.19342824816703796,0.27051445841789246,2547
H2X,4,e3_spatial_seed42,H2X_transport_enc_river_s4,1.4821094274520874,0.416614151111238,2.96995210647583,0.525115557964311,0.24074511229991913,0.3428014814853668,5068
H2X,4,e3_spatial_seed43,H2X_transport_enc_river_s4,2.1231863498687744,0.07087453708388847,11.588078498840332,0.49794475740230626,0.31225714087486267,0.4270327091217041,4004
H2X,4,e3_spatial_seed44,H2X_transport_enc_river_s4,1.6671277284622192,0.4961440793458408,3.448397397994995,0.6500099250827982,0.25790032744407654,0.35056281089782715,4909
